Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
SBOY,Interplane Skyboy,Interplane spol sro,Czech Republic,Landplane,General Aviation,Piston,1,Light,2,1992,,
SBR1,North American Sabreliner,North American Aviation,United States,Landplane,Business Jet,Jet,2,Medium,11,1958,1982,800
SBR2,North American Rockwell Sabre 75,North American Rockwell Corporation,United States,Landplane,Business Jet,Jet,2,Medium,11,1958,,
SC01,Gyroflug SC-01 Speed Canard,Gyroflug Ingenieursgesellschaft mbH,Germany,Landplane,General Aviation,Piston,1,Light,2,1980,,62
SC7,Short SC.7 Skyvan,Short Brothers plc,United Kingdom,Landplane,Passenger Airliner,Turboprop,2,Light,19,1963,1986,149
SCAM,Aerosport Scamp,Aerosport Inc,United States,Landplane,General Aviation,Piston,1,Light,1,1973,,
SCEP,Slipstream Scepter,SlipStream Industries Inc,United States,Landplane,General Aviation,Piston,1,Light,1,1992,,
SCII,Sport Copter SportCopter 2,Sport Copter Inc,United States,Gyrocopter,General Aviation,Piston,1,Light,2,?,,
SCOM,Skygear Comet,Korean Light Aircraft Corporation,"Korea, Republic of",Landplane,_unknown_,Piston,1,Light,,?,,
SCOR,Rotorway Scorpion,Rotorway Aircraft Inc,United States,Helicopter,Helicopter,Piston,1,Light,2,1966,1984,
SCOU,Westland Scout,Westland Aircraft,United Kingdom,Helicopter,Military Helicopter,Turboprop,1,Light,6,1960,,150
SCRO,Akaflieg Munchen M&uuml;-30 Schlacro,Akademische Fliegergruppe M&uuml;nchen eV,Germany,Landplane,General Aviation,Piston,1,Light,2,2000,2000,1
SCTR,Flaglor Scooter,K.Flaglor,United States,Landplane,General Aviation,Piston,1,Light,1,1967,,
SCUB,Aero Kuhlmann Scub,Aero Kuhlmann,France,Landplane,General Aviation,Piston,1,Light,2,1996,,17
SCW1,Scwal 101,SCWAL SA,Belgium,Landplane,_unknown_,Piston,1,Light,,?,,
SD26,Skydancer SD-260,SkyDancer Aviation,United States,Landplane,General Aviation,Piston,1,Light,2,?,,2
SD4,Tomark SD-4 Viper,Tomark sro,Slovakia,Landplane,Ultralight,Piston,1,Light,2,2006,,110
SDUS,Stolp Super Starduster,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,1,?,,
SE5A,Royal Aircraft Factory S.E.5,Royal Aircraft Factory,United Kingdom,Landplane,Fighter,Piston,1,Light,1,1916,?,5 205
SE5R,Replica Plans SE-5A Replica,Replica Plans,Canada,Landplane,General Aviation,Piston,1,Light,1,1970,,120
SEAT,Seawind Turbine Seawind,Seawind Inc,United States,Amphibian,General Aviation,Turboprop,1,Light,3,?,,
SEAW,Seawind Seawind,Seawind Inc,United States,Amphibian,General Aviation,Piston,1,Light,3,1993,,82
SERA,Servoplant Aerocraft,Servoplant SRL,Romania,Landplane,Agricultural,Piston,1,Light,2,?,,
SEST,SeaStar SeaStar,SeaStar Aircraft Inc,United States,Amphibian,General Aviation,Turboprop,1,Light,2,?,,
SF2,Viking SF-2 Cygnet,Viking Aircraft Ltd,United States,Landplane,General Aviation,Piston,1,Light,2,1973,,100
SF23,Scheibe SF-23 Sperling,Scheibe Aircraft GmbH,Germany,Landplane,General Aviation,Piston,1,Light,2,1955,,27
SF24,Scheibe SF-24 Motorspatz,Scheibe Aircraft GmbH,Germany,Landplane,Motor-Glider,Piston,1,Light,1,1960,,50
SF25,Scheibe SF-25 Falke,Scheibe Aircraft GmbH,Germany,Landplane,Motor-Glider,Piston,1,Light,2,1963,,1 200
SF27,Scheibe SF-27 Zugvogel V,Scheibe Aircraft GmbH,Germany,Landplane,Glider,No engine,0,Light,1,1964,,120
SF28,Scheibe SF-28 Tandem-Falke,Scheibe Aircraft GmbH,Germany,Landplane,Motor-Glider,Piston,1,Light,2,1971,,119
SF31,Sportavia-Putzer SFS-31 Milan,Sportavia-P&uuml;tzer GmbH u.Co.KG,Germany,Landplane,Motor-Glider,Piston,1,Light,1,1969,,14
SF32,Scheibe SF-32,Scheibe Aircraft GmbH,Germany,Landplane,_unknown_,Piston,1,Light,,?,,
SF34,Saab 340,Saab AB,Sweden,Landplane,Passenger Airliner,Turboprop,2,Medium,37,1983,1999,459
SF35,Scheibe SF-35,Scheibe Aircraft GmbH,Germany,Landplane,_unknown_,Piston,1,Light,,?,,
SF36,Scheibe SF-36,Scheibe Aircraft GmbH,Germany,Landplane,Motor-Glider,Piston,1,Light,2,?,,
SF50,Cirrus Vision SF50,Cirrus Aircraft,United States,Landplane,Business Jet,Jet,1,Light,7,2008,,73
SG37,Schweizer SGM-2-37,Schweizer Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,2,1982,,12
SG70,Glass SG-70 STOLGlass,Glass Aircraft de Colombia,Colombia,Landplane,_unknown_,Piston,1,Light,,?,,
SG92,Technoavia SM-92T Turbo Finist,SCF Technoavia,Russian Federation,Landplane,General Aviation,Turboprop,1,Light,6,?,,
